Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
SKANE LAN,"171,972","174,574","171,253","171,163","172,306","176,648","180,549","188,378","194,963","199,824","202,882","207,018","210,164","214,095","217,402","220,889","223,705","224,848","228,701","226,287","225,568","230,624","236,968","240,205","248,412","256,135","260,015"
Svalov,"165,308","169,028","166,618","169,235","171,106","174,725","176,520","185,455","192,711","199,915","201,440","208,466","210,452","213,174","215,066","220,522","222,774","228,008","230,646","230,173","229,053","232,548","236,262","242,712","250,568","259,846","262,647"
Staffanstorp,"198,767","199,672","196,683","197,461","198,108","205,806","213,390","222,406","231,457","236,258","241,755","246,360","248,056","253,232","256,836","261,270","264,774","265,468","272,955","273,144","272,795","278,651","286,072","293,038","301,885","308,085","311,616"
Burlov,"186,291","187,747","184,895","183,022","182,844","186,665","191,846","199,672","205,832","207,098","211,413","213,207","215,616","218,393","219,912","223,664","224,924","224,294","227,785","223,458","222,158","226,874","232,951","235,215","240,418","247,988","251,171"
Vellinge,"199,617","201,475","199,067","201,111","202,920","211,581","217,166","227,464","236,863","243,021","247,349","253,286","255,144","261,042","266,216","269,263","274,993","275,872","282,615","281,878","280,900","288,816","296,040","301,547","311,753","317,209","324,130"
Ostra Golinge,"173,673","175,268","172,578","173,014","176,137","179,673","184,250","193,266","200,271","204,757","208,217","210,702","214,318","217,936","221,008","225,044","228,122","227,866","228,284","225,345","222,596","227,037","229,561","229,587","233,449","238,579","241,253"
Orkelljunga,"156,518","160,292","158,274","160,314","162,807","167,731","171,414","179,978","186,427","189,031","190,415","196,584","199,270","203,931","207,282","210,505","212,107","212,230","211,420","210,383","208,472","213,220","221,229","220,168","225,924","233,768","238,527"
Bjuv,"178,351","180,121","176,154","176,086","177,302","182,172","188,198","195,756","201,034","206,756","208,349","212,798","215,785","217,767","220,350","220,898","222,254","222,790","224,750","222,567","220,284","226,238","232,052","235,112","241,867","248,932","250,320"
Kavlinge,"184,873","187,747","186,485","187,716","188,692","195,206","201,796","209,463","218,615","225,392","229,289","235,225","237,745","242,032","248,540","253,331","259,581","263,117","269,619","271,252","270,697","276,810","284,217","289,393","298,250","305,385","310,000"
Lomma,"201,035","202,029","200,127","201,935","204,689","213,546","219,582","230,138","240,965","246,815","250,287","255,080","261,092","266,042","271,157","279,327","285,100","288,771","300,252","301,375","301,700","308,975","318,343","326,812","336,990","347,042","352,432"
